from_wps_url,to_clean_url,n_hops,redirect_type,final_status
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/atencion-al-cliente/proteccion-al-consumidor/superintendencia-financiera,https://www.bancodebogota.com/atencion-al-cliente/proteccion-al-consumidor/superintendencia-financiera,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/atencion-al-cliente/puntos-de-atencion,https://www.bancodebogota.com/atencion-al-cliente/canales/canales-de-atencion-presencial,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/atencion-al-cliente/seguridad,https://www.bancodebogota.com/atencion-al-cliente,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/atencion-al-cliente/seguridad-bancaria,https://www.bancodebogota.com/atencion-al-cliente/seguridad-bancaria,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/atencion-al-cliente/seguridad/seguridad-en-cajeros/perdida-de-confidencialidad,https://www.bancodebogota.com/atencion-al-cliente/seguridad-bancaria/seguridad-en-cajeros/perdida-confidencialidad,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/atencion-al-cliente/seguridad/seguridad-en-internet/el-phishing,https://www.bancodebogota.com/atencion-al-cliente,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/atencion-al-cliente/seguridad/seguridad-en-oficinas/el-fleteo,https://www.bancodebogota.com/atencion-al-cliente/seguridad-bancaria/seguridad-en-oficinas/fleteo,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/atencion-al-cliente/seguridad/seguridad-en-oficinas/falsificacion,https://www.bancodebogota.com/atencion-al-cliente/seguridad-bancaria/seguridad-cheques-consignaciones/falsificacion-o-adulteracion,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/atencion-al-cliente/seguridad/seguridad-en-tu-celular/aplicacion-movil,https://www.bancodebogota.com/atencion-al-cliente/seguridad-bancaria/seguridad-en-tu-celular/aplicacion-movil,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/bancas/para-empresas/banca-empresarial,https://www.bancodebogota.com/banca-empresas/empresarial,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/bancas/para-empresas/banca-institucional,https://www.bancodebogota.com/banca-empresas/institucional,1,http_3xx,200
https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/bancas/para-empresas/banca-oficial,https://www.bancodebogota.com/banca-empresas/oficial,1,http_3xx,200
